genere,genere_collegato,relazione
black metal,atmospheric black metal,subgenre
singer-songwriter,avtorskaya pesnya,subgenre
progressive rock,avant-prog,subgenre
pop,avant-garde pop,subgenre
keroncong,langgam jawa,subgenre
langgam jawa,javanese gamelan,influenced by
jazz,avant-garde jazz,subgenre
metal,avant-garde metal,subgenre
sludge metal,atmospheric sludge metal,subgenre
rock,art rock,subgenre
punk,art punk,subgenre
pop,art pop,subgenre
medieval,ars antiqua,subgenre
medieval,ars nova,subgenre
medieval,ars subtilior,subgenre
arrochadeira,arrocha,fusion of
arrochadeira,pagodão,fusion of
arrocha sertanejo,arrocha,fusion of
arrocha sertanejo,sertanejo universitário,fusion of
funk brasileiro,arrocha funk,subgenre
rock,anatolian rock,subgenre
rock,arena rock,subgenre
hip hop,arabesk rap,subgenre
arabesk rap,arabesk,influenced by
folk,appalachian folk,subgenre
rock,aor,subgenre
contemporary folk,anti-folk,subgenre
punk,anarcho-punk,subgenre
americana,blues,influenced by
americana,contemporary folk,influenced by
americana,country,influenced by
contemporary folk,american primitive guitar,subgenre
ambient,ambient americana,subgenre
ambient americana,americana,influenced by
ambient dub,ambient,fusion of
ambient dub,dub,fusion of
house,ambient house,subgenre
ambient house,ambient,influenced by
harsh noise wall,ambient noise wall,subgenre
ambient noise wall,ambient,influenced by
pop,ambient pop,subgenre
ambient pop,ambient,influenced by
ambient pop,dream pop,influenced by
techno,ambient techno,subgenre
ambient techno,ambient,influenced by
trance,ambient trance,subgenre
ambient trance,ambient,influenced by
house,amapiano,subgenre
amapiano,deep house,influenced by
amapiano,gqom,influenced by
amapiano,kwaito,influenced by
country,alternative country,subgenre
alternative dance,alternative rock,fusion of
alternative dance,dance,fusion of
rock,alternative rock,subgenre
punk,alternative punk,subgenre
pop,alternative pop,subgenre
avant-prog,avant-garde,influenced by
avant-garde jazz,avant-garde,influenced by
avant-garde metal,avant-garde,influenced by
avant-garde pop,avant-garde,influenced by
contemporary folk,avant-folk,subgenre
avant-folk,avant-garde,influenced by
axé,calypso,fusion of
axé,forró,fusion of
axé,frevo,fusion of
axé,maracatu,fusion of
axé,reggae,fusion of
avtorskaya pesnya,russian romance,influenced by
hip hop,alternative hip hop,subgenre
contemporary folk,alternative folk,subgenre
metal,alternative metal,subgenre
electronic,algorave,subgenre
j-pop,akishibu-kei,subgenre
akishibu-kei,shibuya-kei,influenced by
dark electro,aggrotech,subgenre
afrobeat,funk,fusion of
afrobeat,highlife,fusion of
afrobeat,jazz,fusion of
hip hop,afroswing,subgenre
afroswing,afrobeats,influenced by
afroswing,contemporary r&b,influenced by
afroswing,dancehall,influenced by
jazz,afro-jazz,subgenre
latin jazz,afro-cuban jazz,subgenre
funk,afro-funk,subgenre
hip hop,afro trap,subgenre
rock,afro rock,subgenre
blues,african blues,subgenre
texas blues,acoustic texas blues,subgenre
texas blues,electric texas blues,subgenre
blues,texas blues,subgenre
chicago blues,acoustic chicago blues,subgenre
blues,chicago blues,subgenre
rock,acoustic rock,subgenre
blues,acoustic blues,subgenre
trance,acid trance,subgenre
acid trance,acid house,influenced by
techno,acid techno,subgenre
acid techno,acid house,influenced by
house,acid house,subgenre
acid jazz,funk,fusion of
acid jazz,hip hop,fusion of
acid jazz,jazz,fusion of
acid jazz,soul,fusion of
psychedelic rock,acid rock,subgenre
acid breaks,acid house,influenced by
hip hop,abstract hip hop,subgenre
uk garage,2-step,subgenre
ska,2 tone,subgenre
hardcore punk,burning spirits,subgenre
burning spirits,heavy metal,influenced by
pop rock,burmese stereo,subgenre
burmese stereo,psychedelic,influenced by
highlife,burger-highlife,subgenre
burger-highlife,disco,influenced by
burger-highlife,funk,influenced by
bubbling house,bubbling,fusion of
bubbling house,house,fusion of
hardcore techno,belgian techno,subgenre
bubbling,dancehall,influenced by
pop,bubblegum pop,subgenre
edm,bubblegum bass,subgenre
bubblegum bass,pop,influenced by
progressive rock,brutal prog,subgenre
brutal prog,punk,influenced by
death metal,brutal death metal,subgenre
dubstep,brostep,subgenre
country pop,bro-country,subgenre
bro-country,hip hop,influenced by
bro-country,r&b,influenced by
alternative rock,britpop,subgenre
r&b,british rhythm & blues,subgenre
british rhythm & blues,rock,influenced by
folk rock,british folk rock,subgenre
blues,british blues,subgenre
british blues,chicago blues,influenced by
british blues,electric blues,influenced by
hardcore hip hop,britcore,subgenre
funk,brit funk,subgenre
pop,brill building,subgenre
brega funk,funk brasileiro,fusion of
brega funk,tecnobrega,fusion of
brega,brega calypso,subgenre
brega calypso,calypso,influenced by
brega calypso,carimbó,influenced by
brega calypso,lambada,influenced by
brega calypso,ska,influenced by
breakbeat,acid breaks,subgenre
breakbeat,big beat,subgenre
breakbeat,breakbeat hardcore,subgenre
breakbeat,nu skool breaks,subgenre
breakbeat,progressive breaks,subgenre
breakcore,drum and bass,influenced by
breakcore,jungle,influenced by
breakcore,lolicore,subgenre
breakcore,mashcore,subgenre
comedy,break-in,subgenre
hip hop,bounce,subgenre
samba,bossa nova,subgenre
bossa nova,jazz,influenced by
hip hop,boom bap,subgenre
blues,boogie-woogie,subgenre
blues rock,boogie rock,subgenre
disco,boogie,subgenre
boogie,funk,influenced by
boogie,r&b,influenced by
latin,boogaloo,subgenre
boogaloo,jazz,fusion of
boogaloo,r&b,fusion of
boogaloo,son cubano,fusion of
hip hop,bongo flava,subgenre
bongo flava,muziki wa dansi,influenced by
bongo flava,taarab,influenced by
canción melódica,bolero-beat,subgenre
bolero-beat,beat music,influenced by
bolero son,bolero,fusion of
bolero son,son cubano,fusion of
blues rock,blues,fusion of
blues rock,rock,fusion of
blues,spirituals,influenced by
bluegrass,bluegrass gospel,subgenre
bluegrass gospel,country gospel,influenced by
bluegrass,progressive bluegrass,subgenre
country,bluegrass,subgenre
r&b,blue-eyed soul,subgenre
blue-eyed soul,pop,influenced by
techno,bleep techno,subgenre
blackgaze,black metal,fusion of
blackgaze,shoegaze,fusion of
death metal,blackened death metal,subgenre
blackened death metal,black metal,influenced by
crust punk,blackened crust,subgenre
blackened crust,black metal,influenced by
noise,black noise,subgenre
black noise,black metal,influenced by
black metal,depressive black metal,subgenre
black metal,melodic black metal,subgenre
black metal,pagan black metal,subgenre
black metal,symphonic black metal,subgenre
black metal,war metal,subgenre
metal,black metal,subgenre
dark ambient,black ambient,subgenre
black ambient,black metal,influenced by
black metal,black 'n' roll,subgenre
black 'n' roll,hard rock,influenced by
black 'n' roll,heavy metal,influenced by
bit music,bytebeat,subgenre
bit music,chiptune,subgenre
electronic,bit music,subgenre
bitpop,bit music,fusion of
